Year,Month,Region,Org Code,Org Name,R1r,R1n,R2r,R2n,M4b,M4n,K4b,K4n,K1n,K1m,K150,K190,R3s,R3n,R4s,R4n,R5b,R5n,R0n,R6s,R6n,R7s,R7n,SQU03_5_1_1,SQU03_5_1_2,SQU03_5_2_1,SQU03_5_2_2,SQU03_6_1_1,SQU03_6_1_2,M1n,M3n,M3m,M390,K2n,K2m,K250,K290,K3n,K3m,K350,K390,P1b,P1n
2011,5,South West,Y58,South West,43,249,13,34,163,210,831,883,.,.,.,.,16,249,5,34,.,.,.,.,.,.,.,1,3,58,70,326,561,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,28,85,18,28,82,102,455,497,.,.,.,.,13,85,13,28,.,.,.,.,.,.,.,0,0,84,102,158,191,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,63,229,15,33,156,210,332,347,.,.,.,.,19,177,9,29,.,.,.,.,.,.,.,16,23,67,72,171,195,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,34,133,12,25,118,146,802,865,.,.,.,.,10,133,6,25,.,.,.,.,.,.,.,0,1,45,51,298,405,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,13,95,6,16,46,85,287,319,.,.,.,.,5,91,3,16,.,.,.,.,.,.,.,6,9,95,95,59,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,61,193,9,23,68,91,826,928,.,.,.,.,26,193,6,23,.,.,.,.,.,.,.,2,3,117,134,161,212,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,36,270,10,31,139,235,395,447,.,.,.,.,16,259,7,30,.,.,.,.,.,.,.,1,1,58,62,136,235,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,109,340,25,37,143,222,939,1072,.,.,.,.,44,337,16,35,.,.,.,.,.,.,.,0,2,102,118,271,449,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,57,223,16,26,62,109,416,444,.,.,.,.,13,201,4,22,.,.,.,.,.,.,.,4,4,84,93,197,302,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y59,R1F,ISLE OF WIGHT NHS TRUST,1,6,1,1,1,6,33,39,.,.,.,.,0,6,0,0,.,.,.,.,.,.,.,1,2,0,0,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,32,161,3,8,34,50,48,49,.,.,.,.,10,161,2,8,.,.,.,.,.,.,.,0,0,77,88,95,164,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y58,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,14,86,4,13,28,34,135,136,.,.,.,.,7,86,2,13,.,.,.,.,.,.,.,0,0,32,37,65,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,29,163,9,21,135,176,696,747,.,.,.,.,9,163,3,21,.,.,.,.,.,.,.,1,3,26,33,261,462,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Eng,Eng,England,495,2077,138,297,1076,1501,5224,5625,.,.,.,.,157,1980,77,276,.,.,.,.,.,.,.,17,35,772,873,1835,2784,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,North East and Yorkshire,Y63,North East and Yorkshire,52,290,19,49,176,235,1258,1347,.,.,.,.,22,285,14,48,.,.,.,.,.,.,.,0,3,156,196,454,579,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,North West,Y62,North West,62,209,14,29,161,214,329,341,.,.,.,.,19,165,10,22,.,.,.,.,.,.,.,4,9,96,106,184,210,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Midlands,Y60,Midlands,62,280,22,52,141,199,1089,1167,.,.,.,.,19,274,9,51,.,.,.,.,.,.,.,6,11,168,187,176,268,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,East of England,Y61,East of England,46,303,20,39,187,246,306,324,.,.,.,.,17,292,10,36,.,.,.,.,.,.,.,0,0,12,13,105,195,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,London,Y56,London,105,339,33,50,106,210,1001,1100,.,.,.,.,44,335,20,49,.,.,.,.,.,.,.,0,0,111,117,279,425,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,South East,Y59,South East,97,403,17,40,104,140,435,489,.,.,.,.,27,378,10,33,.,.,.,.,.,.,.,2,4,146,152,328,580,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,South West,Y58,South West,71,253,13,38,201,257,806,857,.,.,.,.,9,251,4,37,.,.,.,.,.,.,.,5,8,83,102,309,527,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,17,102,10,20,55,78,480,524,.,.,.,.,6,102,6,20,.,.,.,.,.,.,.,0,0,78,104,160,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,62,209,14,29,161,214,329,341,.,.,.,.,19,165,10,22,.,.,.,.,.,.,.,4,9,96,106,184,210,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,35,188,9,29,121,157,778,823,.,.,.,.,16,183,8,28,.,.,.,.,.,.,.,0,3,78,92,294,395,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,12,102,4,11,73,121,270,295,.,.,.,.,4,96,3,10,.,.,.,.,.,.,.,5,9,69,75,41,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,50,178,18,41,68,78,819,872,.,.,.,.,15,178,6,41,.,.,.,.,.,.,.,1,2,99,112,135,195,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,46,303,20,39,187,246,306,324,.,.,.,.,17,292,10,36,.,.,.,.,.,.,.,0,0,12,13,105,195,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,105,339,33,50,106,210,1001,1100,.,.,.,.,44,335,20,49,.,.,.,.,.,.,.,0,0,111,117,279,425,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,65,247,12,29,82,98,348,390,.,.,.,.,18,222,5,22,.,.,.,.,.,.,.,2,2,87,87,240,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y59,R1F,ISLE OF WIGHT NHS TRUST,2,7,0,1,0,2,39,50,.,.,.,.,0,7,0,1,.,.,.,.,.,.,.,0,2,0,0,0,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,30,149,5,10,22,40,48,49,.,.,.,.,9,149,5,10,.,.,.,.,.,.,.,0,0,59,65,88,169,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y58,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,19,70,5,15,35,42,155,157,.,.,.,.,0,70,0,15,.,.,.,.,.,.,.,0,0,39,47,63,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,6,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,52,183,8,23,166,215,651,700,.,.,.,.,9,181,4,22,.,.,.,.,.,.,.,5,8,44,55,246,430,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Eng,Eng,England,438,2082,117,276,1069,1439,5077,5444,.,.,.,.,138,1975,58,259,.,.,.,.,.,.,.,19,37,851,957,1729,2542,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,North East and Yorkshire,Y63,North East and Yorkshire,50,329,24,55,227,261,957,1011,.,.,.,.,25,319,14,54,.,.,.,.,.,.,.,0,3,178,212,343,424,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,North West,Y62,North West,53,241,8,21,151,217,361,377,.,.,.,.,12,193,3,16,.,.,.,.,.,.,.,5,9,115,125,163,187,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Midlands,Y60,Midlands,75,300,16,37,132,200,1196,1276,.,.,.,.,28,295,6,36,.,.,.,.,.,.,.,6,11,175,201,208,308,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,East of England,Y61,East of England,30,253,12,30,136,191,353,376,.,.,.,.,9,245,6,26,.,.,.,.,.,.,.,0,0,56,60,135,232,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,London,Y56,London,103,348,27,52,136,228,1068,1203,.,.,.,.,35,346,15,51,.,.,.,.,.,.,.,0,2,98,106,316,474,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,South East,Y59,South East,74,356,11,22,97,117,354,378,.,.,.,.,11,323,4,17,.,.,.,.,.,.,.,0,0,130,139,265,397,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,South West,Y58,South West,53,255,19,59,190,225,788,823,.,.,.,.,18,254,10,59,.,.,.,.,.,.,.,8,12,99,114,299,520,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,16,110,11,24,72,95,471,494,.,.,.,.,10,110,6,24,.,.,.,.,.,.,.,0,0,83,96,170,196,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,53,241,8,21,151,217,361,377,.,.,.,.,12,193,3,16,.,.,.,.,.,.,.,5,9,115,125,163,187,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,34,219,13,31,155,166,486,517,.,.,.,.,15,209,8,30,.,.,.,.,.,.,.,0,3,95,116,173,228,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,17,86,8,14,58,94,383,418,.,.,.,.,3,81,1,13,.,.,.,.,.,.,.,5,9,78,92,42,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,58,214,8,23,74,106,813,858,.,.,.,.,25,214,5,23,.,.,.,.,.,.,.,1,2,97,109,166,233,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,30,253,12,30,136,191,353,376,.,.,.,.,9,245,6,26,.,.,.,.,.,.,.,0,0,56,60,135,232,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,103,348,27,52,136,228,1068,1203,.,.,.,.,35,346,15,51,.,.,.,.,.,.,.,0,2,98,106,316,474,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,47,198,9,15,55,67,281,295,.,.,.,.,4,173,3,10,.,.,.,.,.,.,.,0,0,52,55,174,237,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y59,R1F,ISLE OF WIGHT NHS TRUST,1,8,0,0,0,0,24,33,.,.,.,.,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,26,150,2,7,42,50,49,50,.,.,.,.,7,150,1,7,.,.,.,.,.,.,.,0,0,78,84,91,141,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y58,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,10,68,4,14,42,46,129,129,.,.,.,.,7,68,2,14,.,.,.,.,.,.,.,0,0,37,43,50,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,7,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,43,187,15,45,148,179,659,694,.,.,.,.,11,186,8,45,.,.,.,.,.,.,.,8,12,62,71,249,442,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Eng,Eng,England,458,1880,114,240,983,1313,4880,5200,.,.,.,.,137,1749,55,204,.,.,.,.,.,.,.,15,35,676,733,1494,2194,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,North East and Yorkshire,Y63,North East and Yorkshire,85,331,28,46,187,260,1022,1079,.,.,.,.,34,324,18,41,.,.,.,.,.,.,.,1,1,161,178,384,489,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,North West,Y62,North West,68,256,15,37,153,184,362,368,.,.,.,.,23,180,5,22,.,.,.,.,.,.,.,2,7,111,116,144,158,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Midlands,Y60,Midlands,61,282,10,25,140,190,1187,1257,.,.,.,.,14,277,3,23,.,.,.,.,.,.,.,9,15,142,154,187,307,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,East of England,Y61,East of England,52,215,17,32,120,153,351,370,.,.,.,.,8,194,6,25,.,.,.,.,.,.,.,0,0,35,39,117,186,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,London,Y56,London,95,334,23,41,109,193,1025,1129,.,.,.,.,30,327,14,41,.,.,.,.,.,.,.,0,2,75,82,297,447,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,South East,Y59,South East,43,252,8,21,86,109,254,276,.,.,.,.,9,237,3,15,.,.,.,.,.,.,.,0,0,108,112,185,315,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,South West,Y58,South West,54,210,13,38,188,224,679,721,.,.,.,.,19,210,6,37,.,.,.,.,.,.,.,3,10,44,52,180,292,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,33,105,18,25,79,106,296,318,.,.,.,.,12,100,11,22,.,.,.,.,.,.,.,0,0,78,83,114,139,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,68,256,15,37,153,184,362,368,.,.,.,.,23,180,5,22,.,.,.,.,.,.,.,2,7,111,116,144,158,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,52,226,10,21,108,154,726,761,.,.,.,.,22,224,7,19,.,.,.,.,.,.,.,1,1,83,95,270,350,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,14,72,3,5,72,107,430,456,.,.,.,.,2,67,1,3,.,.,.,.,.,.,.,8,12,68,70,50,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,47,210,7,20,68,83,757,801,.,.,.,.,12,210,2,20,.,.,.,.,.,.,.,1,3,74,84,137,228,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,52,215,17,32,120,153,351,370,.,.,.,.,8,194,6,25,.,.,.,.,.,.,.,0,0,35,39,117,186,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,95,334,23,41,109,193,1025,1129,.,.,.,.,30,327,14,41,.,.,.,.,.,.,.,0,2,75,82,297,447,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,29,136,7,14,48,55,173,186,.,.,.,.,5,127,2,8,.,.,.,.,.,.,.,0,0,45,45,104,152,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y59,R1F,ISLE OF WIGHT NHS TRUST,3,9,0,0,0,4,34,40,.,.,.,.,0,3,0,0,.,.,.,.,.,.,.,0,0,0,0,0,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,11,107,1,7,38,50,47,50,.,.,.,.,4,107,1,7,.,.,.,.,.,.,.,0,0,63,67,81,143,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y58,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,18,74,4,17,22,25,102,106,.,.,.,.,5,74,2,17,.,.,.,.,.,.,.,0,0,29,29,40,66,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,8,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,36,136,9,21,166,199,577,615,.,.,.,.,14,136,4,20,.,.,.,.,.,.,.,3,10,15,23,140,226,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,Eng,Eng,England,404,1819,104,239,1009,1316,5409,5726,.,.,.,.,93,1589,47,203,.,.,.,.,.,.,.,15,25,791,894,1461,2469,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,North East and Yorkshire,Y63,North East and Yorkshire,55,318,19,46,177,215,1058,1096,.,.,.,.,22,317,12,46,.,.,.,.,.,.,.,0,2,144,168,397,543,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,North West,Y62,North West,44,197,9,29,133,176,278,286,.,.,.,.,10,145,2,16,.,.,.,.,.,.,.,5,9,90,107,75,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,Midlands,Y60,Midlands,58,272,14,32,164,201,1416,1484,.,.,.,.,9,265,8,29,.,.,.,.,.,.,.,4,8,171,198,66,329,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,East of England,Y61,East of England,51,219,14,35,127,153,511,527,.,.,.,.,10,204,7,32,.,.,.,.,.,.,.,0,0,59,65,113,192,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,London,Y56,London,92,309,22,39,118,216,953,1080,.,.,.,.,20,305,7,37,.,.,.,.,.,.,.,0,0,84,97,261,426,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,South East,Y59,South East,55,262,11,26,105,132,494,507,.,.,.,.,5,112,4,11,.,.,.,.,.,.,.,0,0,153,157,365,606,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,South West,Y58,South West,49,242,15,32,185,223,699,746,.,.,.,.,17,241,7,32,.,.,.,.,.,.,.,6,6,90,102,184,285,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,22,103,11,21,64,74,294,307,.,.,.,.,9,102,7,21,.,.,.,.,.,.,.,0,0,69,75,159,191,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,44,197,9,29,133,176,278,286,.,.,.,.,10,145,2,16,.,.,.,.,.,.,.,5,9,90,107,75,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,33,215,8,25,113,141,764,789,.,.,.,.,13,215,5,25,.,.,.,.,.,.,.,0,2,75,93,238,352,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,17,85,3,11,73,94,710,745,.,.,.,.,5,78,4,8,.,.,.,.,.,.,.,4,8,66,74,51,87,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,9,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,41,187,11,21,91,107,706,739,.,.,.,.,4,187,4,21,.,.,.,.,.,.,.,0,0,105,124,15,242,.,.,.,.,.,.,.,.,.,.,.,.,.,.
